ID Centro de Salud, prestación avanzada
SAPU Miraflores,1
SAPU Nueva Aurora,1
SAPU Gómez Carreño,1
SAPU Ventanas,0
SAPU Concón ,1
SAPU Las Torres,1
SAPU Kaplan,1
HOSPITAL Adriana Cousiño de Quintero,1
"HOSPITAL Dr. G. Fricke, Viña del Mar",1
SAPU Miguel Concha,1
SAPU San Pedro,1
SAPU Artificio,0
HOSPITAL Mario Sánchez de La Calera,0
HOSPITAL San Martín de Quillota,1
SAPU El Belloto,0
SAPU Pompeya,1
HOSPITAL Santo Tomás de Limache,1
HOSPITAL Geriátrico Paz de La Tarde,0
HOSPITAL Juana Ross de Edwards de Peñablanca,0
HOSPITAL de Quilpué,0
CLINICA Los Carrera,0
CLINICA Ciudad del Mar,0
CLINICA Miraflores,1
CLINICA Reñaca,0
HOSPITAL Clínico Viña del Mar,1
CLINICA Los Leones,1
HOSPITAL Naval,1
